run_tag	val_bpb	artifact_bytes	time	train_peak_rss_bytes	status	description
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_signroundlite_awq_calib128_val32768_skipfloat	1.93513450	8076863	16:49.78	1542782976	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus AWQ on randomized-Hadamard rotated uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_signroundlite_sparseresid001_calib128_val32768_skipfloat	1.94136031	5067407	16:42.88	1542569984	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus sparse residual correction on uniform INT4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_signroundlite_sparseresid001_calib128_val32768_skipfloat	1.91295851	6453579	16:44.94	1542750208	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus sparse residual correction on NF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int6_group64_tiedemb_fp16_lzma_rht_rotseed7_val32768_skipfloat	1.90148865	9449134	16:39.33	1540636672	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard input-column rotation fused into weight-only INT6 grouped RTN quantization with fp16 tied head and lzma serialization; alternate deterministic seed 7
2026-04-02_mlx_quick_int6_group64_tiedemb_fp16_lzma_rht_rotseed2026_val32768_skipfloat	1.90083622	9472566	16:39.44	1540734976	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard input-column rotation fused into weight-only INT6 grouped RTN quantization with fp16 tied head and lzma serialization; alternate deterministic seed 2026
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_signroundlite_calib128_rotseed7_val32768_skipfloat	1.90890774	7367043	16:44.55	1542029312	review	SpinQuant-inspired rotation-seed sweep: SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences, alternate seed 7
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_signroundlite_calib128_rotseed2026_val32768_skipfloat	1.90656680	7369643	16:44.27	1542799360	review	SpinQuant-inspired rotation-seed sweep: SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences, alternate seed 2026
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_rotseed7_val32768_skipfloat	1.91601537	6585390	16:40.13	1541390336	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard rotation plus NF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization; alternate deterministic seed 7
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_rotseed2026_val32768_skipfloat	1.91637462	6575110	16:42.52	1541701632	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard rotation plus NF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization; alternate deterministic seed 2026
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_af4_rotseed7_val32768_skipfloat	1.91702986	7055323	16:44.55	1542324224	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard rotation plus AF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization; alternate deterministic seed 7
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_af4_rotseed2026_val32768_skipfloat	1.91724363	7071719	16:40.68	1542406144	review	SpinQuant-inspired rotation-seed sweep: randomized-Hadamard rotation plus AF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization; alternate deterministic seed 2026
